rating_id;inquiry_id;client_id;agent_id;rating_date;overall_rating;resolution_speed_rating;politeness_rating;knowledge_rating;feedback;would_recommend;regulation_followed
1;47;1028;9;15.02.2025;2;2;3;2;Разочарован сервисом;ЛОЖЬ;ИСТИНА
2;17;1050;2;27.01.2025;4;5;4;3;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
3;78;1024;9;29.10.2024;4;3;3;5;Отличный сервис, быстрое решение проблемы;ИСТИНА;ИСТИНА
4;61;1020;4;25.12.2024;4;5;3;4;Всегда приятно иметь дело с профессионалами;ИСТИНА;ИСТИНА
5;21;1022;7;23.09.2024;5;5;5;5;Вежливый и компетентный специалист;ИСТИНА;ЛОЖЬ
6;91;1043;9;09.10.2024;3;3;3;4;В целом неплохо, но можно лучше;ЛОЖЬ;ИСТИНА
7;54;1016;10;20.10.2024;5;5;5;5;Отличный сервис, быстрое решение проблемы;ИСТИНА;ИСТИНА
8;93;1041;1;08.01.2025;4;5;5;5;Отличная работа, спасибо!;ИСТИНА;ЛОЖЬ
9;19;1011;4;15.11.2024;4;3;3;4;Очень доволен качеством обслуживания;ИСТИНА;ИСТИНА
10;54;1016;3;22.10.2024;5;5;5;5;Быстро и качественно;ИСТИНА;ИСТИНА
11;91;1043;9;06.10.2024;4;4;5;4;Отличная работа, спасибо!;ИСТИНА;ЛОЖЬ
12;41;1023;3;08.11.2024;5;5;5;5;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
13;79;1036;8;25.11.2024;5;5;5;4;Вежливый и компетентный специалист;ИСТИНА;ИСТИНА
14;99;1050;5;25.12.2024;5;5;5;5;Превзошли мои ожидания;ИСТИНА;ИСТИНА
15;37;1046;2;13.12.2024;5;5;5;4;Быстро и качественно;ИСТИНА;ИСТИНА
16;6;1006;5;28.01.2025;4;5;4;5;Превзошли мои ожидания;ИСТИНА;ЛОЖЬ
17;28;1011;9;22.12.2024;5;5;5;5;Вежливый и компетентный специалист;ИСТИНА;ИСТИНА
18;14;1001;10;11.03.2025;3;4;4;2;В целом неплохо, но можно лучше;ЛОЖЬ;ИСТИНА
19;7;1050;2;27.11.2024;4;3;5;3;Превзошли мои ожидания;ИСТИНА;ИСТИНА
20;71;1050;3;16.01.2025;5;5;5;4;Превзошли мои ожидания;ИСТИНА;ИСТИНА
21;42;1011;5;24.10.2024;5;5;5;4;Очень доволен качеством обслуживания;ИСТИНА;ИСТИНА
22;23;1035;7;14.10.2024;5;5;5;4;Отличный сервис, быстрое решение проблемы;ИСТИНА;ИСТИНА
23;5;1007;1;12.12.2024;4;4;4;4;Очень доволен качеством обслуживания;ИСТИНА;ЛОЖЬ
24;18;1020;2;14.11.2024;4;3;4;3;Оперативно решили мою проблему;ИСТИНА;ЛОЖЬ
25;83;1020;5;08.02.2025;1;1;2;2;Не перезвонили, как обещали;ЛОЖЬ;ИСТИНА
26;23;1035;10;18.10.2024;5;5;4;5;Отличная работа, спасибо!;ИСТИНА;ИСТИНА
27;24;1013;8;04.10.2024;4;3;4;4;Оперативно решили мою проблему;ИСТИНА;ИСТИНА
28;58;1018;5;07.12.2024;4;3;4;5;Всегда приятно иметь дело с профессионалами;ИСТИНА;ИСТИНА
29;89;1038;4;14.09.2024;5;5;4;5;Превзошли мои ожидания;ИСТИНА;ИСТИНА
30;89;1038;2;18.09.2024;4;3;3;4;Оперативно решили мою проблему;ИСТИНА;ИСТИНА
31;59;1046;1;09.11.2024;4;4;5;5;Отличная работа, спасибо!;ИСТИНА;ИСТИНА
32;98;1010;6;06.01.2025;5;4;5;5;Всегда приятно иметь дело с профессионалами;ИСТИНА;ИСТИНА
33;10;1021;10;20.12.2024;2;3;1;3;Разочарован сервисом;ЛОЖЬ;ИСТИНА
34;22;1015;6;03.10.2024;4;5;5;4;Оперативно решили мою проблему;ИСТИНА;ИСТИНА
35;66;1037;8;03.11.2024;4;4;4;5;Отличная работа, спасибо!;ИСТИНА;ИСТИНА
36;72;1016;6;10.01.2025;5;5;4;5;Вежливый и компетентный специалист;ИСТИНА;ИСТИНА
37;1;1041;4;15.10.2024;2;2;3;1;Пришлось обращаться повторно;ЛОЖЬ;ИСТИНА
38;9;1030;8;14.12.2024;3;2;4;4;Нормальное обслуживание;ЛОЖЬ;ЛОЖЬ
39;48;1001;7;27.01.2025;5;5;4;5;Быстро и качественно;ИСТИНА;ИСТИНА
40;84;1007;6;02.11.2024;3;3;4;2;Могло быть и лучше;ЛОЖЬ;ИСТИНА
41;1;1041;1;10.10.2024;4;4;5;4;Отличная работа, спасибо!;ИСТИНА;ИСТИНА
42;32;1017;3;07.11.2024;4;3;5;3;Вежливый и компетентный специалист;ИСТИНА;ИСТИНА
43;85;1001;7;31.12.2024;5;4;4;4;Отличный сервис, быстрое решение проблемы;ИСТИНА;ИСТИНА
44;77;1021;5;13.10.2024;4;3;5;3;Отличный сервис, быстрое решение проблемы;ИСТИНА;ЛОЖЬ
45;57;1041;4;26.11.2024;3;2;4;3;В целом неплохо, но можно лучше;ЛОЖЬ;ИСТИНА
46;94;1008;10;21.09.2024;4;3;4;3;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
47;53;1010;7;20.09.2024;3;4;4;2;Могло быть и лучше;ЛОЖЬ;ЛОЖЬ
48;72;1016;6;10.01.2025;1;2;2;1;Не перезвонили, как обещали;ЛОЖЬ;ИСТИНА
49;90;1018;7;31.10.2024;2;1;3;2;Пришлось обращаться повторно;ЛОЖЬ;ИСТИНА
50;29;1038;5;26.01.2025;5;5;5;5;Отличный сервис, быстрое решение проблемы;ИСТИНА;ИСТИНА
51;50;1027;9;27.02.2025;3;4;2;3;Не все вопросы были решены;ЛОЖЬ;ИСТИНА
52;12;1026;9;12.12.2024;2;3;3;3;Пришлось обращаться повторно;ЛОЖЬ;ИСТИНА
53;10;1021;4;28.12.2024;5;4;5;4;Отличная работа, спасибо!;ИСТИНА;ИСТИНА
54;39;1011;1;03.01.2025;5;5;5;4;Очень доволен качеством обслуживания;ИСТИНА;ИСТИНА
55;51;1039;4;02.03.2025;4;4;4;5;Вежливый и компетентный специалист;ИСТИНА;ИСТИНА
56;40;1035;5;22.09.2024;4;4;3;5;Превзошли мои ожидания;ИСТИНА;ЛОЖЬ
57;98;1010;6;07.01.2025;5;5;5;4;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
58;95;1006;3;04.11.2024;3;4;4;3;Не очень понятные объяснения;ЛОЖЬ;ИСТИНА
59;20;1046;4;02.12.2024;3;2;3;4;Не очень понятные объяснения;ЛОЖЬ;ИСТИНА
60;33;1005;8;18.09.2024;4;3;3;5;Все объяснили понятно и доступно;ИСТИНА;ЛОЖЬ
61;24;1013;8;07.10.2024;5;5;4;4;Отличный сервис, быстрое решение проблемы;ИСТИНА;ИСТИНА
62;98;1010;6;05.01.2025;4;3;5;3;Оперативно решили мою проблему;ИСТИНА;ИСТИНА
63;28;1011;9;25.12.2024;4;5;5;5;Отличный сервис, быстрое решение проблемы;ИСТИНА;ЛОЖЬ
64;85;1001;8;22.12.2024;1;1;1;1;Разочарован сервисом;ЛОЖЬ;ИСТИНА
65;69;1037;5;18.09.2024;4;3;3;3;Быстро и качественно;ИСТИНА;ИСТИНА
66;31;1016;4;13.02.2025;4;4;4;3;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
67;52;1043;8;08.10.2024;3;3;4;2;Средний уровень поддержки;ЛОЖЬ;ИСТИНА
68;12;1026;7;15.12.2024;4;3;5;3;Превзошли мои ожидания;ИСТИНА;ИСТИНА
69;11;1010;8;20.11.2024;5;5;4;5;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
70;30;1011;4;02.10.2024;4;3;5;4;Отличный сервис, быстрое решение проблемы;ИСТИНА;ИСТИНА
71;23;1035;6;12.10.2024;5;4;5;5;Всегда приятно иметь дело с профессионалами;ИСТИНА;ИСТИНА
72;39;1011;3;09.01.2025;3;4;4;3;Слишком долгое ожидание;ЛОЖЬ;ЛОЖЬ
73;97;1022;3;16.01.2025;4;3;3;4;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
74;10;1021;6;28.12.2024;5;5;5;4;Всегда приятно иметь дело с профессионалами;ИСТИНА;ИСТИНА
75;58;1018;8;05.12.2024;4;4;3;5;Быстро и качественно;ИСТИНА;ЛОЖЬ
76;11;1010;10;18.11.2024;5;4;5;4;Очень доволен качеством обслуживания;ИСТИНА;ЛОЖЬ
77;92;1008;1;25.12.2024;5;5;4;4;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
78;40;1035;8;22.09.2024;5;4;4;4;Очень доволен качеством обслуживания;ИСТИНА;ЛОЖЬ
79;58;1018;9;10.12.2024;4;3;3;4;Очень доволен качеством обслуживания;ИСТИНА;ИСТИНА
80;77;1021;5;17.10.2024;5;4;5;5;Быстро и качественно;ИСТИНА;ЛОЖЬ
81;100;1009;2;23.01.2025;5;5;5;4;Оперативно решили мою проблему;ИСТИНА;ЛОЖЬ
82;22;1015;3;29.09.2024;4;3;3;3;Превзошли мои ожидания;ИСТИНА;ЛОЖЬ
83;36;1009;7;18.11.2024;4;4;4;3;Очень доволен качеством обслуживания;ИСТИНА;ЛОЖЬ
84;77;1021;5;17.10.2024;3;2;3;2;Решили проблему, но долго;ЛОЖЬ;ЛОЖЬ
85;43;1025;10;24.09.2024;5;5;5;5;Все объяснили понятно и доступно;ИСТИНА;ИСТИНА
86;39;1011;6;09.01.2025;5;5;5;4;Оперативно решили мою проблему;ИСТИНА;ЛОЖЬ
87;41;1023;5;08.11.2024;5;5;5;5;Оперативно решили мою проблему;ИСТИНА;ЛОЖЬ
88;47;1028;2;20.02.2025;3;2;4;4;Могло быть и лучше;ЛОЖЬ;ИСТИНА
89;94;1008;8;19.09.2024;4;5;3;4;Вежливый и компетентный специалист;ИСТИНА;ЛОЖЬ
90;18;1020;2;12.11.2024;3;4;3;3;Нормальное обслуживание;ЛОЖЬ;ИСТИНА
91;58;1018;10;09.12.2024;4;5;5;4;Отличная работа, спасибо!;ИСТИНА;ИСТИНА
92;47;1028;9;20.02.2025;5;4;4;5;Очень доволен качеством обслуживания;ИСТИНА;ИСТИНА
93;22;1015;10;25.09.2024;4;4;4;3;Быстро и качественно;ИСТИНА;ИСТИНА
94;13;1010;7;25.02.2025;3;4;4;4;Могло быть и лучше;ЛОЖЬ;ИСТИНА
95;58;1018;6;08.12.2024;4;5;5;3;Всегда приятно иметь дело с профессионалами;ИСТИНА;ИСТИНА
96;4;1049;8;20.10.2024;3;2;4;2;Решили проблему, но долго;ЛОЖЬ;ИСТИНА
97;40;1035;6;24.09.2024;5;5;5;5;Отличная работа, спасибо!;ИСТИНА;ИСТИНА
98;57;1041;8;23.11.2024;2;3;1;1;Очень долго решали проблему;ЛОЖЬ;ИСТИНА
99;83;1020;2;08.02.2025;5;5;4;5;Оперативно решили мою проблему;ИСТИНА;ИСТИНА
100;43;1025;9;24.09.2024;5;5;5;4;Оперативно решили мою проблему;ИСТИНА;ИСТИНА
